polled_at_utc,station_id,num_bikes_available,num_docks_available,is_renting,is_returning,is_installed,last_reported
2026-09-17T00:51:33+00:00,6026,3,30,True,True,True,1789606292
2026-09-17T00:51:33+00:00,5431,3,16,True,True,True,1789606292
2026-09-17T00:51:33+00:00,5424,0,16,True,True,True,1789606292
2026-09-17T00:51:33+00:00,5220,1,19,True,True,True,1789606292
2026-09-17T00:51:33+00:00,5217,10,20,True,True,True,1789606292
2026-09-17T00:51:33+00:00,5113,10,3,True,True,True,1789606292
2026-09-17T00:51:33+00:00,4683,0,20,True,True,True,1789606292
2026-09-17T00:51:33+00:00,4552,0,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,3725,0,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2358,4,9,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2357,10,12,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2355,5,7,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2351,0,17,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2350,1,23,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2349,8,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2347,16,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2340,20,3,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2339,13,16,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2337,10,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2334,2,9,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2333,12,3,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2332,0,11,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2330,3,9,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2329,10,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2328,2,17,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2315,12,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2308,0,7,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2307,2,28,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2306,5,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2305,8,7,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2304,1,15,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2280,10,3,True,True,True,1789606292
2026-09-17T00:51:33+00:00,2270,2,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,1919,1,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,1755,11,20,True,True,True,1789606292
2026-09-17T00:51:33+00:00,1101,3,19,True,True,True,1789606292
2026-09-17T00:51:33+00:00,1023,5,9,True,True,True,1789606292
2026-09-17T00:51:33+00:00,1009,2,8,True,True,True,1789606292
2026-09-17T00:51:33+00:00,970,10,14,True,True,True,1789606292
2026-09-17T00:51:33+00:00,787,4,7,True,True,True,1789606292
2026-09-17T00:51:33+00:00,627,8,22,True,True,True,1789606292
2026-09-17T00:51:33+00:00,623,11,8,True,True,True,1789606292
2026-09-17T00:51:33+00:00,624,6,12,True,True,True,1789606292
2026-09-17T00:51:33+00:00,626,10,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,614,3,20,True,True,True,1789606292
2026-09-17T00:51:33+00:00,616,7,8,True,True,True,1789606292
2026-09-17T00:51:33+00:00,618,3,35,True,True,True,1789606292
2026-09-17T00:51:33+00:00,621,7,19,True,True,True,1789606292
2026-09-17T00:51:33+00:00,622,7,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,613,5,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,620,10,29,True,True,True,1789606292
2026-09-17T00:51:33+00:00,596,10,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,617,15,2,True,True,True,1789606292
2026-09-17T00:51:33+00:00,609,21,6,True,True,True,1789606292
2026-09-17T00:51:33+00:00,607,25,0,True,True,True,1789606292
2026-09-17T00:51:33+00:00,603,2,15,True,True,True,1789606292
2026-09-17T00:51:33+00:00,590,0,37,True,True,True,1789606292
2026-09-17T00:51:33+00:00,610,5,15,True,True,True,1789606292
2026-09-17T00:51:33+00:00,608,15,6,True,True,True,1789606292
2026-09-17T00:51:33+00:00,593,5,25,True,True,True,1789606292
2026-09-17T00:51:33+00:00,530,7,2,True,True,True,1789606292
2026-09-17T00:51:33+00:00,463,18,1,True,True,True,1789606292
2026-09-17T00:51:33+00:00,475,20,4,True,True,True,1789606292
2026-09-17T00:51:33+00:00,439,1,23,True,True,True,1789606292
2026-09-17T00:51:33+00:00,600,10,0,True,True,True,1789606292
2026-09-17T00:51:33+00:00,440,6,10,True,True,True,1789606292
2026-09-17T00:51:33+00:00,612,4,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,491,0,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,493,29,0,True,True,True,1789606292
2026-09-17T00:51:33+00:00,410,21,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,605,3,15,True,True,True,1789606292
2026-09-17T00:51:33+00:00,388,1,17,True,True,True,1789606292
2026-09-17T00:51:33+00:00,591,3,21,True,True,True,1789606292
2026-09-17T00:51:33+00:00,592,3,14,True,True,True,1789606292
2026-09-17T00:51:33+00:00,585,8,8,True,True,True,1789606292
2026-09-17T00:51:33+00:00,565,2,15,True,True,True,1789606292
2026-09-17T00:51:33+00:00,571,15,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,568,7,7,True,True,True,1789606292
2026-09-17T00:51:33+00:00,588,5,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,584,8,26,True,True,True,1789606292
2026-09-17T00:51:33+00:00,569,9,20,True,True,True,1789606292
2026-09-17T00:51:33+00:00,577,11,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,564,2,27,True,True,True,1789606292
2026-09-17T00:51:33+00:00,570,1,14,True,True,True,1789606292
2026-09-17T00:51:33+00:00,572,11,25,True,True,True,1789606292
2026-09-17T00:51:33+00:00,586,23,1,True,True,True,1789606292
2026-09-17T00:51:33+00:00,576,6,11,True,True,True,1789606292
2026-09-17T00:51:33+00:00,566,12,12,True,True,True,1789606292
2026-09-17T00:51:33+00:00,602,0,17,True,True,True,1789606292
2026-09-17T00:51:33+00:00,575,14,14,True,True,True,1789606292
2026-09-17T00:51:33+00:00,567,8,29,True,True,True,1789606292
2026-09-17T00:51:33+00:00,582,19,9,True,True,True,1789606292
2026-09-17T00:51:33+00:00,595,22,0,True,True,True,1789606292
2026-09-17T00:51:33+00:00,542,15,2,True,True,True,1789606292
2026-09-17T00:51:33+00:00,563,16,1,True,True,True,1789606292
2026-09-17T00:51:33+00:00,558,4,10,True,True,True,1789606292
2026-09-17T00:51:33+00:00,552,3,15,True,True,True,1789606292
2026-09-17T00:51:33+00:00,555,8,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,573,12,12,True,True,True,1789606292
2026-09-17T00:51:33+00:00,561,7,13,True,True,True,1789606292
2026-09-17T00:51:33+00:00,615,19,2,True,True,True,1789606292
2026-09-17T00:51:33+00:00,543,0,19,True,True,True,1789606292
2026-09-17T00:51:33+00:00,554,0,18,True,True,True,1789606292
2026-09-17T00:51:33+00:00,574,4,8,True,True,True,1789606292
2026-09-17T00:51:33+00:00,560,1,7,True,True,True,1789606292
2026-09-17T00:51:33+00:00,548,3,14,True,True,True,1789606292
2026-09-17T00:51:33+00:00,559,6,11,True,True,True,1789606292
2026-09-17T00:51:33+00:00,545,7,31,True,True,True,1789606292
2026-09-17T00:51:33+00:00,550,3,6,True,True,True,1789606292
2026-09-17T00:51:33+00:00,541,6,3,True,True,True,1789606292
2026-09-17T00:51:33+00:00,527,6,5,True,True,True,1789606292
2026-09-17T00:51:33+00:00,529,5,14,True,True,True,1789606292
2026-09-17T00:51:33+00:00,526,0,13,True,True,True,1789606292
